Security Name,Exchange,Symbol,Quantity,Amount,,,,,,,,
"",,Buy,Sell,Net,Buy,Sell,Brokerage,CVT,WHT,FED,Net,
ABBOTT LABORATORIES PAK LTD.,KSE,ABOT,38,38,0,"28,658.19","28,960.36",73.98,0.00,0.00,11.12,(217.07)
AGRITECH LIMITED,KSE,AGL,184,184,0,"5,953.04","5,842.00",17.69,0.00,0.00,2.67,131.40
ASKARI BANK LIMITED,KSE,AKBL,248,248,0,"6,448.00","6,398.40",19.27,0.00,0.00,2.89,71.76
ATLAS BATTERY LIMITED,KSE,ATBA,8,21,(13),"3,291.72","8,510.05",12.77,0.00,0.00,1.91,"(5,203.65)"
ATTOCK REFINERY LIMITED,KSE,ATRL,0,25,(25),0.00,"8,593.75",12.89,0.00,0.00,1.93,"(8,578.93)"
AZGARD NINE LIMITED,KSE,ANL,"1,604","1,604",0,"12,037.89","12,145.52",96.24,0.00,0.00,14.48,3.09
BALOCHISTAN GLASS LTD.,KSE,BGL,362,362,0,"4,833.78","4,984.74",21.72,0.00,0.00,3.27,(125.97)
BANK AL HABIB LIMITED,KSE,BAHL,111,111,0,"10,971.30","10,600.74",32.37,0.00,0.00,4.86,407.79
BANK AL-FALAH LIMITED,KSE,BAFL,252,252,0,"14,842.75","14,869.05",44.57,0.00,0.00,6.69,24.96
BANK OF PUNJAB,KSE,BOP,"1,366","1,366",0,"7,349.08","6,966.60",81.96,0.00,0.00,12.30,476.74
BANKISLAMI PAKISTAN LTD,KSE,BIPL,795,"1,165",(370),"16,998.48","24,369.46",61.91,0.00,0.00,9.36,"(7,299.71)"
BIAFO INDUSTRIES LIMITED,KSE,BIFO,82,82,0,"10,107.56","11,066.62",27.95,0.00,0.00,4.21,(926.90)
CHERAT CEMENT COMPANY LIMITED,KSE,CHCC,119,199,(80),"20,771.00","34,048.70",82.23,0.00,0.00,12.36,"(13,183.11)"
CLOVER PAKISTAN LIMITED,KSE,CLOV,262,262,0,"11,211.69","11,043.76",33.42,0.00,0.00,5.03,206.38
CNERGYICO PK LIMITED,KSE,CNERGY,"1,586","1,586",0,"6,645.30","6,296.42",95.16,0.00,0.00,14.28,458.32
COLGATE PALMOLIVE (PAKISTAN) LIMITED,KSE,COLG,2,2,0,"2,279.70","2,520.00",7.20,0.00,0.00,1.08,(232.02)
CRESCENT STEEL & ALLIED PRODUCTS LIMITED,KSE,CSAP,218,121,97,"17,819.48","9,831.95",41.49,0.00,0.00,6.26,"8,035.28"
D.G. KHAN CEMENT COMPANY LIMITED,KSE,DGKC,209,365,(156),"16,490.11","28,392.79",66.39,0.00,0.00,9.99,"(11,826.30)"
DEWAN CEMENT LTD,KSE,DCL,"1,850","1,638",212,"15,105.59","13,446.46",100.56,0.00,0.00,15.13,"1,774.82"
DEWAN FAROOQ MOTORS LIMITED,KSE,DFML,364,171,193,"17,272.49","8,526.59",38.67,0.00,0.00,5.81,"8,790.38"
Security Name,Exchange,Symbol,Quantity,Amount,,,,,,,,
